MatchDate,HomeTeam,AwayTeam,FTHome,FTAway,FTResult,HTHome,HTAway,HTResult,HomeShots,AwayShots,HomeTarget,AwayTarget,HomeFouls,AwayFouls,HomeCorners,AwayCorners,HomeYellow,AwayYellow,HomeRed,AwayRed,Form5Home,Form5Away,OddHome,OddDraw,OddAway,HomeElo,AwayElo,GoalDiff,Favorite,Upset,EloDiff,HomePrecision,AwayPrecision
2000-09-05,Sunderland,West Ham,1.0,1.0,D,1.0,1.0,D,17.0,16.0,7.0,9.0,19.0,14.0,4.0,11.0,2.0,3.0,0.0,0.0,5.0,2.0,2.0,3.2,3.3,1704.21,1674.63,0.0,Sunderland,False,29.6,0.41,0.56
2000-09-05,Tottenham,Everton,3.0,2.0,H,1.0,2.0,A,11.0,11.0,7.0,6.0,11.0,10.0,7.0,5.0,1.0,2.0,0.0,0.0,7.0,7.0,1.75,3.3,4.0,1682.58,1687.27,1.0,Tottenham,False,-4.7,0.64,0.55
2000-09-06,Charlton,Southampton,1.0,1.0,D,0.0,0.0,D,8.0,11.0,6.0,3.0,14.0,16.0,10.0,14.0,3.0,3.0,1.0,0.0,5.0,3.0,2.0,3.1,3.2,1612.79,1627.33,0.0,Charlton,False,-14.5,0.75,0.27
2000-09-06,Chelsea,Arsenal,2.0,2.0,D,1.0,0.0,H,12.0,13.0,5.0,5.0,16.0,22.0,7.0,6.0,3.0,1.0,0.0,0.0,7.0,10.0,2.3,3.1,2.8,1792.67,1873.17,0.0,Chelsea,False,-80.5,0.42,0.38
2000-09-06,Coventry,Newcastle,0.0,2.0,A,0.0,1.0,A,13.0,13.0,3.0,6.0,11.0,18.0,6.0,8.0,1.0,1.0,0.0,0.0,10.0,10.0,2.4,3.1,2.6,1645.42,1724.39,-2.0,Coventry,True,-79.0,0.23,0.46
2000-09-06,Derby,Middlesbrough,3.0,3.0,D,0.0,1.0,A,9.0,5.0,5.0,4.0,8.0,10.0,11.0,5.0,3.0,2.0,0.0,0.0,3.0,7.0,2.4,3.1,2.6,1636.72,1685.17,0.0,Derby,False,-48.5,0.56,0.8
2000-09-06,Leicester,Ipswich,2.0,1.0,H,0.0,0.0,D,12.0,7.0,6.0,3.0,12.0,13.0,6.0,2.0,1.0,1.0,0.0,0.0,8.0,7.0,1.7,3.4,4.15,1699.38,1647.41,1.0,Leicester,False,52.0,0.5,0.43
2000-09-06,Liverpool,Aston Villa,3.0,1.0,H,3.0,0.0,H,11.0,9.0,7.0,4.0,13.0,7.0,8.0,7.0,0.0,2.0,0.0,0.0,7.0,5.0,1.66,3.4,4.5,1768.61,1731.95,2.0,Liverpool,False,36.7,0.64,0.44
2000-09-09,Bradford,Arsenal,1.0,1.0,D,1.0,0.0,H,9.0,18.0,5.0,11.0,17.0,13.0,4.0,10.0,0.0,2.0,0.0,0.0,5.0,9.0,4.6,3.4,1.6,1596.85,1873.17,0.0,Arsenal,False,-276.3,0.56,0.61
2000-09-09,Coventry,Leeds,0.0,0.0,D,0.0,0.0,D,9.0,11.0,1.0,5.0,15.0,14.0,6.0,6.0,2.0,2.0,0.0,0.0,8.0,10.0,3.05,3.2,2.1,1645.42,1807.01,0.0,Leeds,False,-161.6,0.11,0.45
2000-09-09,Ipswich,Aston Villa,1.0,2.0,A,0.0,1.0,A,15.0,5.0,5.0,2.0,9.0,13.0,5.0,3.0,1.0,3.0,0.0,0.0,5.0,3.0,2.65,3.2,2.3,1647.41,1731.95,-1.0,Aston Villa,False,-84.5,0.33,0.4
2000-09-09,Leicester,Southampton,1.0,0.0,H,0.0,0.0,D,17.0,9.0,6.0,5.0,6.0,9.0,10.0,6.0,0.0,0.0,0.0,0.0,10.0,4.0,1.71,3.4,4.2,1699.38,1627.33,1.0,Leicester,False,72.1,0.35,0.56
2000-09-09,Liverpool,Man City,3.0,2.0,H,1.0,0.0,H,14.0,9.0,8.0,7.0,17.0,17.0,9.0,4.0,3.0,4.0,0.0,0.0,9.0,8.0,1.3,3.9,9.2,1768.61,1577.47,1.0,Liverpool,False,191.1,0.57,0.78
2000-09-09,Man United,Sunderland,3.0,0.0,H,1.0,0.0,H,15.0,5.0,7.0,1.0,18.0,14.0,4.0,4.0,1.0,3.0,0.0,0.0,10.0,5.0,1.25,4.1,9.0,1927.83,1704.21,3.0,Man United,False,223.6,0.47,0.2
2000-09-09,Middlesbrough,Everton,1.0,2.0,A,1.0,0.0,H,9.0,12.0,5.0,9.0,16.0,5.0,7.0,7.0,3.0,0.0,0.0,0.0,6.0,5.0,2.0,3.3,3.2,1685.17,1687.27,-1.0,Middlesbrough,True,-2.1,0.56,0.75
2000-09-09,Newcastle,Chelsea,0.0,0.0,D,0.0,0.0,D,10.0,10.0,4.0,3.0,17.0,21.0,5.0,6.0,0.0,3.0,0.0,0.0,11.0,6.0,2.35,3.25,2.6,1724.39,1792.67,0.0,Newcastle,False,-68.3,0.4,0.3
2000-09-10,Derby,Charlton,2.0,2.0,D,2.0,0.0,H,12.0,10.0,6.0,6.0,17.0,12.0,4.0,11.0,3.0,1.0,0.0,0.0,4.0,5.0,2.0,3.3,3.2,1636.72,1612.79,0.0,Derby,False,23.9,0.5,0.6
2000-09-11,Tottenham,West Ham,1.0,0.0,H,0.0,0.0,D,15.0,11.0,7.0,5.0,14.0,13.0,11.0,3.0,1.0,2.0,0.0,0.0,9.0,3.0,1.85,3.3,3.7,1682.58,1674.63,1.0,Tottenham,False,7.9,0.47,0.45
2000-09-16,Arsenal,Coventry,2.0,1.0,H,1.0,0.0,H,18.0,6.0,13.0,2.0,5.0,13.0,8.0,4.0,1.0,2.0,0.0,0.0,8.0,7.0,1.25,4.8,9.0,1878.72,1637.76,1.0,Arsenal,False,241.0,0.72,0.33
2000-09-16,Aston Villa,Bradford,2.0,0.0,H,1.0,0.0,H,12.0,8.0,7.0,4.0,8.0,12.0,5.0,6.0,0.0,2.0,0.0,0.0,6.0,5.0,1.53,3.8,5.0,1734.83,1601.23,2.0,Aston Villa,False,133.6,0.58,0.5
2000-09-16,Charlton,Tottenham,1.0,0.0,H,1.0,0.0,H,9.0,10.0,5.0,5.0,8.0,10.0,7.0,5.0,0.0,0.0,0.0,0.0,5.0,10.0,2.6,3.3,2.3,1615.6,1695.88,1.0,Tottenham,True,-80.3,0.56,0.5
